,iso2,year,sex,age,cases
10511,FR,1999,m,45-54,276
30015,FR,1999,f,55-64,60
12949,FR,1999,m,55-64,157
32453,FR,1999,f,65+,284
15387,FR,1999,m,65+,318
17826,FR,2000,f,0-14,18
760,FR,2000,m,0-14,10
20264,FR,2000,f,15-24,108
3198,FR,2000,m,15-24,136
22702,FR,2000,f,25-34,127
5636,FR,2000,m,25-34,248
25140,FR,2000,f,35-44,89
8074,FR,2000,m,35-44,247
27578,FR,2000,f,45-54,46
10512,FR,2000,m,45-54,211
30016,FR,2000,f,55-64,43
12950,FR,2000,m,55-64,125
32454,FR,2000,f,65+,155
15388,FR,2000,m,65+,244
17827,FR,2001,f,0-14,17
761,FR,2001,m,0-14,10
20265,FR,2001,f,15-24,131
3199,FR,2001,m,15-24,124
22703,FR,2001,f,25-34,132
5637,FR,2001,m,25-34,230
25141,FR,2001,f,35-44,102
8075,FR,2001,m,35-44,260
27579,FR,2001,f,45-54,63
10513,FR,2001,m,45-54,205
30017,FR,2001,f,55-64,40
12951,FR,2001,m,55-64,119
32455,FR,2001,f,65+,183
15389,FR,2001,m,65+,211
17828,FR,2002,f,0-14,13
762,FR,2002,m,0-14,24
20266,FR,2002,f,15-24,106
3200,FR,2002,m,15-24,138
22704,FR,2002,f,25-34,127
5638,FR,2002,m,25-34,265
25142,FR,2002,f,35-44,90
8076,FR,2002,m,35-44,223
27580,FR,2002,f,45-54,56
10514,FR,2002,m,45-54,219
30018,FR,2002,f,55-64,33
12952,FR,2002,m,55-64,119
32456,FR,2002,f,65+,161
15390,FR,2002,m,65+,180
17829,FR,2003,f,0-14,16
763,FR,2003,m,0-14,18
20267,FR,2003,f,15-24,114
3201,FR,2003,m,15-24,129
22705,FR,2003,f,25-34,129
5639,FR,2003,m,25-34,249
25143,FR,2003,f,35-44,79
8077,FR,2003,m,35-44,223
27581,FR,2003,f,45-54,44
10515,FR,2003,m,45-54,190
30019,FR,2003,f,55-64,32
12953,FR,2003,m,55-64,127
32457,FR,2003,f,65+,159
15391,FR,2003,m,65+,210
17830,FR,2004,f,0-14,11
764,FR,2004,m,0-14,13
20268,FR,2004,f,15-24,96
3202,FR,2004,m,15-24,109
22706,FR,2004,f,25-34,116
5640,FR,2004,m,25-34,222
25144,FR,2004,f,35-44,82
8078,FR,2004,m,35-44,220
27582,FR,2004,f,45-54,53
10516,FR,2004,m,45-54,200
30020,FR,2004,f,55-64,34
12954,FR,2004,m,55-64,138
32458,FR,2004,f,65+,171
15392,FR,2004,m,65+,216
17831,FR,2005,f,0-14,16
765,FR,2005,m,0-14,12
20269,FR,2005,f,15-24,104
3203,FR,2005,m,15-24,127
22707,FR,2005,f,25-34,134
5641,FR,2005,m,25-34,212
25145,FR,2005,f,35-44,82
8079,FR,2005,m,35-44,222
27583,FR,2005,f,45-54,56
10517,FR,2005,m,45-54,196
30021,FR,2005,f,55-64,38
12955,FR,2005,m,55-64,134
32459,FR,2005,f,65+,180
15393,FR,2005,m,65+,205
17832,FR,2006,f,0-14,15
766,FR,2006,m,0-14,17
20270,FR,2006,f,15-24,112
3204,FR,2006,m,15-24,137
22708,FR,2006,f,25-34,158
5642,FR,2006,m,25-34,214
25146,FR,2006,f,35-44,91
8080,FR,2006,m,35-44,238
27584,FR,2006,f,45-54,67
10518,FR,2006,m,45-54,209
30022,FR,2006,f,55-64,44
12956,FR,2006,m,55-64,153
32460,FR,2006,f,65+,170
15394,FR,2006,m,65+,278
17833,FR,2007,f,0-14,20
767,FR,2007,m,0-14,17
20271,FR,2007,f,15-24,127
3205,FR,2007,m,15-24,120
22709,FR,2007,f,25-34,167
5643,FR,2007,m,25-34,225
25147,FR,2007,f,35-44,91
8081,FR,2007,m,35-44,196
27585,FR,2007,f,45-54,56
10519,FR,2007,m,45-54,219
30023,FR,2007,f,55-64,61
12957,FR,2007,m,55-64,156
32461,FR,2007,f,65+,188
15395,FR,2007,m,65+,273
17834,FR,2008,f,0-14,8
768,FR,2008,m,0-14,10
20272,FR,2008,f,15-24,57
3206,FR,2008,m,15-24,73
22710,FR,2008,f,25-34,96
5644,FR,2008,m,25-34,136
25148,FR,2008,f,35-44,71
8082,FR,2008,m,35-44,161
27586,FR,2008,f,45-54,50
10520,FR,2008,m,45-54,134
30024,FR,2008,f,55-64,38
12958,FR,2008,m,55-64,110
32462,FR,2008,f,65+,101
15396,FR,2008,m,65+,175
17835,GA,1995,f,0-14,9
769,GA,1995,m,0-14,3
20273,GA,1995,f,15-24,47
3207,GA,1995,m,15-24,45
22711,GA,1995,f,25-34,54
5645,GA,1995,m,25-34,74
25149,GA,1995,f,35-44,28
8083,GA,1995,m,35-44,80
27587,GA,1995,f,45-54,25
10521,GA,1995,m,45-54,54
30025,GA,1995,f,55-64,19
12959,GA,1995,m,55-64,30
32463,GA,1995,f,65+,3
15397,GA,1995,m,65+,15
17836,GA,1996,f,0-14,5
770,GA,1996,m,0-14,0
20274,GA,1996,f,15-24,33
3208,GA,1996,m,15-24,28
22712,GA,1996,f,25-34,26
5646,GA,1996,m,25-34,44
25150,GA,1996,f,35-44,19
8084,GA,1996,m,35-44,40
27588,GA,1996,f,45-54,11
10522,GA,1996,m,45-54,22
30026,GA,1996,f,55-64,4
12960,GA,1996,m,55-64,11
32464,GA,1996,f,65+,4
15398,GA,1996,m,65+,2
17837,GA,1998,f,0-14,15
771,GA,1998,m,0-14,14
20275,GA,1998,f,15-24,97
3209,GA,1998,m,15-24,93
22713,GA,1998,f,25-34,85
5647,GA,1998,m,25-34,159
25151,GA,1998,f,35-44,67
8085,GA,1998,m,35-44,129
27589,GA,1998,f,45-54,32
10523,GA,1998,m,45-54,76
30027,GA,1998,f,55-64,30
12961,GA,1998,m,55-64,43
32465,GA,1998,f,65+,14
15399,GA,1998,m,65+,32
17838,GA,1999,f,0-14,15
772,GA,1999,m,0-14,14
20276,GA,1999,f,15-24,97
3210,GA,1999,m,15-24,98
22714,GA,1999,f,25-34,110
5648,GA,1999,m,25-34,158
25152,GA,1999,f,35-44,67
8086,GA,1999,m,35-44,129
27590,GA,1999,f,45-54,32
10524,GA,1999,m,45-54,76
30028,GA,1999,f,55-64,30
12962,GA,1999,m,55-64,43
32466,GA,1999,f,65+,14
15400,GA,1999,m,65+,32
17839,GA,2001,f,0-14,27
773,GA,2001,m,0-14,21
20277,GA,2001,f,15-24,127
3211,GA,2001,m,15-24,137
22715,GA,2001,f,25-34,139
5649,GA,2001,m,25-34,205
25153,GA,2001,f,35-44,73
8087,GA,2001,m,35-44,147
27591,GA,2001,f,45-54,34
10525,GA,2001,m,45-54,73
30029,GA,2001,f,55-64,21
12963,GA,2001,m,55-64,60
32467,GA,2001,f,65+,21
15401,GA,2001,m,65+,46
17840,GA,2002,f,0-14,18
774,GA,2002,m,0-14,10
20278,GA,2002,f,15-24,125
3212,GA,2002,m,15-24,137
22716,GA,2002,f,25-34,140
5650,GA,2002,m,25-34,173
25154,GA,2002,f,35-44,71
8088,GA,2002,m,35-44,148
27592,GA,2002,f,45-54,32
10526,GA,2002,m,45-54,63
30030,GA,2002,f,55-64,21
12964,GA,2002,m,55-64,27
32468,GA,2002,f,65+,28
15402,GA,2002,m,65+,40
17841,GA,2003,f,0-14,16
775,GA,2003,m,0-14,14
20279,GA,2003,f,15-24,138
3213,GA,2003,m,15-24,165
22717,GA,2003,f,25-34,144
5651,GA,2003,m,25-34,225
25155,GA,2003,f,35-44,107
8089,GA,2003,m,35-44,149
27593,GA,2003,f,45-54,51
10527,GA,2003,m,45-54,103
30031,GA,2003,f,55-64,33
12965,GA,2003,m,55-64,48
32469,GA,2003,f,65+,18
15403,GA,2003,m,65+,22
17842,GA,2004,f,0-14,15
776,GA,2004,m,0-14,17
20280,GA,2004,f,15-24,173
3214,GA,2004,m,15-24,197
22718,GA,2004,f,25-34,141
5652,GA,2004,m,25-34,289
25156,GA,2004,f,35-44,80
8090,GA,2004,m,35-44,143
27594,GA,2004,f,45-54,37
10528,GA,2004,m,45-54,83
30032,GA,2004,f,55-64,24
12966,GA,2004,m,55-64,47
32470,GA,2004,f,65+,27
15404,GA,2004,m,65+,50
17843,GA,2005,f,0-14,19
777,GA,2005,m,0-14,13
20281,GA,2005,f,15-24,128
3215,GA,2005,m,15-24,123
22719,GA,2005,f,25-34,123
5653,GA,2005,m,25-34,199
25157,GA,2005,f,35-44,88
8091,GA,2005,m,35-44,140
27595,GA,2005,f,45-54,29
10529,GA,2005,m,45-54,70
30033,GA,2005,f,55-64,29
12967,GA,2005,m,55-64,38
32471,GA,2005,f,65+,18
15405,GA,2005,m,65+,25
17844,GA,2006,f,0-14,19
778,GA,2006,m,0-14,20
20282,GA,2006,f,15-24,160
3216,GA,2006,m,15-24,157
22720,GA,2006,f,25-34,123
5654,GA,2006,m,25-34,207
25158,GA,2006,f,35-44,79
8092,GA,2006,m,35-44,148
27596,GA,2006,f,45-54,39
10530,GA,2006,m,45-54,89
30034,GA,2006,f,55-64,20
12968,GA,2006,m,55-64,40
32472,GA,2006,f,65+,21
15406,GA,2006,m,65+,23
17845,GA,2008,f,0-14,29
779,GA,2008,m,0-14,14
20283,GA,2008,f,15-24,209
3217,GA,2008,m,15-24,209
22721,GA,2008,f,25-34,158
5655,GA,2008,m,25-34,297
25159,GA,2008,f,35-44,93
8093,GA,2008,m,35-44,196
27597,GA,2008,f,45-54,59
10531,GA,2008,m,45-54,104
30035,GA,2008,f,55-64,32
12969,GA,2008,m,55-64,45
32473,GA,2008,f,65+,17
15407,GA,2008,m,65+,39
17846,GB,1997,f,0-14,8
780,GB,1997,m,0-14,2
20284,GB,1997,f,15-24,67
3218,GB,1997,m,15-24,68
22722,GB,1997,f,25-34,64
5656,GB,1997,m,25-34,87
25160,GB,1997,f,35-44,43
8094,GB,1997,m,35-44,90
27598,GB,1997,f,45-54,34
10532,GB,1997,m,45-54,84
30036,GB,1997,f,55-64,24
12970,GB,1997,m,55-64,60
32474,GB,1997,f,65+,51
15408,GB,1997,m,65+,107
17847,GB,1998,f,0-14,9
781,GB,1998,m,0-14,11
20285,GB,1998,f,15-24,105
3219,GB,1998,m,15-24,103
22723,GB,1998,f,25-34,103
5657,GB,1998,m,25-34,164
25161,GB,1998,f,35-44,71
8095,GB,1998,m,35-44,141
27599,GB,1998,f,45-54,44
10533,GB,1998,m,45-54,108
30037,GB,1998,f,55-64,39
12971,GB,1998,m,55-64,105
32475,GB,1998,f,65+,114
15409,GB,1998,m,65+,225
17848,GB,1999,f,0-14,6
782,GB,1999,m,0-14,8
20286,GB,1999,f,15-24,55
3220,GB,1999,m,15-24,68
22724,GB,1999,f,25-34,80
5658,GB,1999,m,25-34,93
25162,GB,1999,f,35-44,60
8096,GB,1999,m,35-44,68
27600,GB,1999,f,45-54,29
10534,GB,1999,m,45-54,53
30038,GB,1999,f,55-64,30
12972,GB,1999,m,55-64,51
32476,GB,1999,f,65+,69
15410,GB,1999,m,65+,126
17849,GB,2000,f,0-14,9
783,GB,2000,m,0-14,8
20287,GB,2000,f,15-24,95
3221,GB,2000,m,15-24,86
22725,GB,2000,f,25-34,114
5659,GB,2000,m,25-34,130
25163,GB,2000,f,35-44,60
8097,GB,2000,m,35-44,96
27601,GB,2000,f,45-54,31
10535,GB,2000,m,45-54,87
30039,GB,2000,f,55-64,31
12973,GB,2000,m,55-64,75
32477,GB,2000,f,65+,67
15411,GB,2000,m,65+,138
17850,GB,2001,f,0-14,15
784,GB,2001,m,0-14,10
20288,GB,2001,f,15-24,74
3222,GB,2001,m,15-24,99
22726,GB,2001,f,25-34,104
5660,GB,2001,m,25-34,135
25164,GB,2001,f,35-44,57
8098,GB,2001,m,35-44,105
27602,GB,2001,f,45-54,54
10536,GB,2001,m,45-54,96
30040,GB,2001,f,55-64,38
12974,GB,2001,m,55-64,81
32478,GB,2001,f,65+,105
15412,GB,2001,m,65+,117
17851,GB,2002,f,0-14,6
785,GB,2002,m,0-14,6
20289,GB,2002,f,15-24,82
3223,GB,2002,m,15-24,94
22727,GB,2002,f,25-34,131
5661,GB,2002,m,25-34,142
25165,GB,2002,f,35-44,66
8099,GB,2002,m,35-44,132
27603,GB,2002,f,45-54,44
10537,GB,2002,m,45-54,98
30041,GB,2002,f,55-64,33
12975,GB,2002,m,55-64,90
32479,GB,2002,f,65+,93
15413,GB,2002,m,65+,153
17852,GB,2003,f,0-14,14
786,GB,2003,m,0-14,13
20290,GB,2003,f,15-24,108
3224,GB,2003,m,15-24,101
22728,GB,2003,f,25-34,148
5662,GB,2003,m,25-34,182
25166,GB,2003,f,35-44,88
8100,GB,2003,m,35-44,128
27604,GB,2003,f,45-54,47
10538,GB,2003,m,45-54,81
30042,GB,2003,f,55-64,17
12976,GB,2003,m,55-64,59
32480,GB,2003,f,65+,55
15414,GB,2003,m,65+,92
17853,GB,2004,f,0-14,13
787,GB,2004,m,0-14,10
20291,GB,2004,f,15-24,126
3225,GB,2004,m,15-24,118
22729,GB,2004,f,25-34,176
5663,GB,2004,m,25-34,203
25167,GB,2004,f,35-44,85
8101,GB,2004,m,35-44,148
27605,GB,2004,f,45-54,47
10539,GB,2004,m,45-54,103
30043,GB,2004,f,55-64,33
12977,GB,2004,m,55-64,85
32481,GB,2004,f,65+,65
15415,GB,2004,m,65+,94
17854,GB,2005,f,0-14,14
788,GB,2005,m,0-14,9
20292,GB,2005,f,15-24,115
3226,GB,2005,m,15-24,135
22730,GB,2005,f,25-34,163
5664,GB,2005,m,25-34,200
25168,GB,2005,f,35-44,80
8102,GB,2005,m,35-44,166
27606,GB,2005,f,45-54,39
10540,GB,2005,m,45-54,95
30044,GB,2005,f,55-64,28
12978,GB,2005,m,55-64,95
32482,GB,2005,f,65+,83
15416,GB,2005,m,65+,124
17855,GB,2006,f,0-14,22
789,GB,2006,m,0-14,9
20293,GB,2006,f,15-24,168
3227,GB,2006,m,15-24,173
22731,GB,2006,f,25-34,192
5665,GB,2006,m,25-34,244
25169,GB,2006,f,35-44,112
8103,GB,2006,m,35-44,213
27607,GB,2006,f,45-54,60
10541,GB,2006,m,45-54,148
30045,GB,2006,f,55-64,42
12979,GB,2006,m,55-64,88
32483,GB,2006,f,65+,97
15417,GB,2006,m,65+,191
17856,GB,2007,f,0-14,20
790,GB,2007,m,0-14,13
20294,GB,2007,f,15-24,145
3228,GB,2007,m,15-24,183
22732,GB,2007,f,25-34,222
5666,GB,2007,m,25-34,286
25170,GB,2007,f,35-44,91
8104,GB,2007,m,35-44,223
27608,GB,2007,f,45-54,58
10542,GB,2007,m,45-54,169
30046,GB,2007,f,55-64,45
12980,GB,2007,m,55-64,97
32484,GB,2007,f,65+,138
15418,GB,2007,m,65+,202
17857,GB,2008,f,0-14,16
791,GB,2008,m,0-14,5
20295,GB,2008,f,15-24,134
3229,GB,2008,m,15-24,125
22733,GB,2008,f,25-34,181
5667,GB,2008,m,25-34,188
25171,GB,2008,f,35-44,90
8105,GB,2008,m,35-44,155
27609,GB,2008,f,45-54,27
10543,GB,2008,m,45-54,111
30047,GB,2008,f,55-64,28
12981,GB,2008,m,55-64,61
32485,GB,2008,f,65+,62
15419,GB,2008,m,65+,99
17858,GD,1997,f,0-14,0
792,GD,1997,m,0-14,0
20296,GD,1997,f,15-24,1
3230,GD,1997,m,15-24,0
22734,GD,1997,f,25-34,0
5668,GD,1997,m,25-34,1
25172,GD,1997,f,35-44,0
8106,GD,1997,m,35-44,0
27610,GD,1997,f,45-54,0
10544,GD,1997,m,45-54,0
30048,GD,1997,f,55-64,0
12982,GD,1997,m,55-64,0
32486,GD,1997,f,65+,0
15420,GD,1997,m,65+,0
17859,GD,1998,f,0-14,0
793,GD,1998,m,0-14,0
20297,GD,1998,f,15-24,0
3231,GD,1998,m,15-24,1
22735,GD,1998,f,25-34,0
5669,GD,1998,m,25-34,0
25173,GD,1998,f,35-44,0
8107,GD,1998,m,35-44,1
27611,GD,1998,f,45-54,0
10545,GD,1998,m,45-54,0
30049,GD,1998,f,55-64,0
12983,GD,1998,m,55-64,0
32487,GD,1998,f,65+,0
15421,GD,1998,m,65+,0
17860,GD,1999,f,0-14,0
794,GD,1999,m,0-14,0
20298,GD,1999,f,15-24,0
3232,GD,1999,m,15-24,0
22736,GD,1999,f,25-34,0
5670,GD,1999,m,25-34,1
25174,GD,1999,f,35-44,0
8108,GD,1999,m,35-44,0
27612,GD,1999,f,45-54,0
10546,GD,1999,m,45-54,0
30050,GD,1999,f,55-64,0
12984,GD,1999,m,55-64,1
32488,GD,1999,f,65+,1
15422,GD,1999,m,65+,0
17861,GD,2003,f,0-14,0
795,GD,2003,m,0-14,0
20299,GD,2003,f,15-24,0
3233,GD,2003,m,15-24,0
22737,GD,2003,f,25-34,0
5671,GD,2003,m,25-34,0
25175,GD,2003,f,35-44,0
8109,GD,2003,m,35-44,0
27613,GD,2003,f,45-54,0
10547,GD,2003,m,45-54,1
30051,GD,2003,f,55-64,1
12985,GD,2003,m,55-64,0
32489,GD,2003,f,65+,0
15423,GD,2003,m,65+,0
17862,GD,2006,f,0-14,0
796,GD,2006,m,0-14,0
20300,GD,2006,f,15-24,0
3234,GD,2006,m,15-24,0
22738,GD,2006,f,25-34,0
5672,GD,2006,m,25-34,1
25176,GD,2006,f,35-44,0
8110,GD,2006,m,35-44,0
27614,GD,2006,f,45-54,0
10548,GD,2006,m,45-54,0
30052,GD,2006,f,55-64,0
12986,GD,2006,m,55-64,0
32490,GD,2006,f,65+,0
15424,GD,2006,m,65+,0
17863,GD,2007,f,0-14,0
797,GD,2007,m,0-14,0
20301,GD,2007,f,15-24,1
3235,GD,2007,m,15-24,0
22739,GD,2007,f,25-34,0
5673,GD,2007,m,25-34,0
25177,GD,2007,f,35-44,0
8111,GD,2007,m,35-44,0
27615,GD,2007,f,45-54,0
10549,GD,2007,m,45-54,0
30053,GD,2007,f,55-64,0
12987,GD,2007,m,55-64,1
32491,GD,2007,f,65+,0
15425,GD,2007,m,65+,1
17864,GD,2008,f,0-14,0
798,GD,2008,m,0-14,0
20302,GD,2008,f,15-24,0
3236,GD,2008,m,15-24,1
22740,GD,2008,f,25-34,0
5674,GD,2008,m,25-34,0
25178,GD,2008,f,35-44,0
8112,GD,2008,m,35-44,1
27616,GD,2008,f,45-54,0
10550,GD,2008,m,45-54,2
30054,GD,2008,f,55-64,0
12988,GD,2008,m,55-64,0
32492,GD,2008,f,65+,0
15426,GD,2008,m,65+,1
17865,GE,1995,f,0-14,2
799,GE,1995,m,0-14,2
20303,GE,1995,f,15-24,8
3237,GE,1995,m,15-24,20
22741,GE,1995,f,25-34,17
5675,GE,1995,m,25-34,30
25179,GE,1995,f,35-44,17
8113,GE,1995,m,35-44,25
27617,GE,1995,f,45-54,18
10551,GE,1995,m,45-54,40
30055,GE,1995,f,55-64,7
12989,GE,1995,m,55-64,18
32493,GE,1995,f,65+,5
15427,GE,1995,m,65+,12
17866,GE,1996,f,0-14,1
800,GE,1996,m,0-14,4
20304,GE,1996,f,15-24,13
3238,GE,1996,m,15-24,27
22742,GE,1996,f,25-34,28
5676,GE,1996,m,25-34,82
25180,GE,1996,f,35-44,36
8114,GE,1996,m,35-44,93
27618,GE,1996,f,45-54,23
10552,GE,1996,m,45-54,76
30056,GE,1996,f,55-64,27
12990,GE,1996,m,55-64,38
32494,GE,1996,f,65+,11
15428,GE,1996,m,65+,16
17867,GE,1997,f,0-14,0
801,GE,1997,m,0-14,0
20305,GE,1997,f,15-24,38
3239,GE,1997,m,15-24,75
22743,GE,1997,f,25-34,46
5677,GE,1997,m,25-34,97
25181,GE,1997,f,35-44,40
8115,GE,1997,m,35-44,91
27619,GE,1997,f,45-54,36
10553,GE,1997,m,45-54,67
30057,GE,1997,f,55-64,19
12991,GE,1997,m,55-64,58
32495,GE,1997,f,65+,12
15429,GE,1997,m,65+,16
17868,GE,1998,f,0-14,4
802,GE,1998,m,0-14,4
20306,GE,1998,f,15-24,41
3240,GE,1998,m,15-24,64
22744,GE,1998,f,25-34,52
5678,GE,1998,m,25-34,91
25182,GE,1998,f,35-44,25
8116,GE,1998,m,35-44,99
27620,GE,1998,f,45-54,14
10554,GE,1998,m,45-54,58
30058,GE,1998,f,55-64,17
12992,GE,1998,m,55-64,52
32496,GE,1998,f,65+,7
15430,GE,1998,m,65+,19
17869,GE,1999,f,0-14,3
803,GE,1999,m,0-14,5
20307,GE,1999,f,15-24,27
3241,GE,1999,m,15-24,135
22745,GE,1999,f,25-34,40
5679,GE,1999,m,25-34,176
25183,GE,1999,f,35-44,26
8117,GE,1999,m,35-44,151
27621,GE,1999,f,45-54,10
10555,GE,1999,m,45-54,77
30059,GE,1999,f,55-64,10
12993,GE,1999,m,55-64,55
32497,GE,1999,f,65+,8
15431,GE,1999,m,65+,23
17870,GE,2000,f,0-14,1
804,GE,2000,m,0-14,4
20308,GE,2000,f,15-24,49
3242,GE,2000,m,15-24,76
22746,GE,2000,f,25-34,37
5680,GE,2000,m,25-34,111
25184,GE,2000,f,35-44,33
8118,GE,2000,m,35-44,113
27622,GE,2000,f,45-54,17
10556,GE,2000,m,45-54,63
30060,GE,2000,f,55-64,10
12994,GE,2000,m,55-64,45
32498,GE,2000,f,65+,5
15432,GE,2000,m,65+,28
17871,GE,2001,f,0-14,2
805,GE,2001,m,0-14,4
20309,GE,2001,f,15-24,63
3243,GE,2001,m,15-24,142
22747,GE,2001,f,25-34,63
5681,GE,2001,m,25-34,233
25185,GE,2001,f,35-44,37
8119,GE,2001,m,35-44,199
27623,GE,2001,f,45-54,22
10557,GE,2001,m,45-54,117
30061,GE,2001,f,55-64,18
12995,GE,2001,m,55-64,46
32499,GE,2001,f,65+,22
15433,GE,2001,m,65+,46
17872,GE,2002,f,0-14,5
806,GE,2002,m,0-14,1
20310,GE,2002,f,15-24,54
3244,GE,2002,m,15-24,155
22748,GE,2002,f,25-34,68
5682,GE,2002,m,25-34,197
25186,GE,2002,f,35-44,39
8120,GE,2002,m,35-44,181
27624,GE,2002,f,45-54,31
10558,GE,2002,m,45-54,119
30062,GE,2002,f,55-64,20
12996,GE,2002,m,55-64,54
32500,GE,2002,f,65+,18
15434,GE,2002,m,65+,42
17873,GE,2003,f,0-14,1
807,GE,2003,m,0-14,1
20311,GE,2003,f,15-24,65
3245,GE,2003,m,15-24,112
22749,GE,2003,f,25-34,59
5683,GE,2003,m,25-34,220
25187,GE,2003,f,35-44,56
8121,GE,2003,m,35-44,185
27625,GE,2003,f,45-54,19
10559,GE,2003,m,45-54,111
30063,GE,2003,f,55-64,23
12997,GE,2003,m,55-64,65
32501,GE,2003,f,65+,17
15435,GE,2003,m,65+,53
17874,GE,2004,f,0-14,3
808,GE,2004,m,0-14,3
20312,GE,2004,f,15-24,87
3246,GE,2004,m,15-24,157
22750,GE,2004,f,25-34,81
5684,GE,2004,m,25-34,292
25188,GE,2004,f,35-44,52
8122,GE,2004,m,35-44,226
27626,GE,2004,f,45-54,32
10560,GE,2004,m,45-54,177
30064,GE,2004,f,55-64,26
12998,GE,2004,m,55-64,80
32502,GE,2004,f,65+,29
15436,GE,2004,m,65+,66
17875,GE,2005,f,0-14,4
809,GE,2005,m,0-14,0
20313,GE,2005,f,15-24,109
3247,GE,2005,m,15-24,226
22751,GE,2005,f,25-34,105
5685,GE,2005,m,25-34,272
25189,GE,2005,f,35-44,58
8123,GE,2005,m,35-44,268
27627,GE,2005,f,45-54,46
10561,GE,2005,m,45-54,207
30065,GE,2005,f,55-64,17
12999,GE,2005,m,55-64,76
32503,GE,2005,f,65+,47
15437,GE,2005,m,65+,60
17876,GE,2006,f,0-14,5
810,GE,2006,m,0-14,3
20314,GE,2006,f,15-24,115
3248,GE,2006,m,15-24,315
22752,GE,2006,f,25-34,110
5686,GE,2006,m,25-34,392
25190,GE,2006,f,35-44,71
8124,GE,2006,m,35-44,300
27628,GE,2006,f,45-54,60
10562,GE,2006,m,45-54,241
30066,GE,2006,f,55-64,26
13000,GE,2006,m,55-64,86
32504,GE,2006,f,65+,34
15438,GE,2006,m,65+,72
17877,GE,2007,f,0-14,6
811,GE,2007,m,0-14,7
20315,GE,2007,f,15-24,153
3249,GE,2007,m,15-24,277
22753,GE,2007,f,25-34,140
5687,GE,2007,m,25-34,388
25191,GE,2007,f,35-44,67
8125,GE,2007,m,35-44,308
27629,GE,2007,f,45-54,54
10563,GE,2007,m,45-54,230
30067,GE,2007,f,55-64,17
13001,GE,2007,m,55-64,96
32505,GE,2007,f,65+,46
15439,GE,2007,m,65+,75
17878,GE,2008,f,0-14,108
812,GE,2008,m,0-14,161
20316,GE,2008,f,15-24,396
3250,GE,2008,m,15-24,710
22754,GE,2008,f,25-34,374
5688,GE,2008,m,25-34,974
25192,GE,2008,f,35-44,252
8126,GE,2008,m,35-44,906
27630,GE,2008,f,45-54,171
10564,GE,2008,m,45-54,739
30068,GE,2008,f,55-64,109
13002,GE,2008,m,55-64,427
32506,GE,2008,f,65+,160
15440,GE,2008,m,65+,347
17879,GH,1995,f,0-14,40
813,GH,1995,m,0-14,42
20317,GH,1995,f,15-24,199
3251,GH,1995,m,15-24,223
22755,GH,1995,f,25-34,272
5689,GH,1995,m,25-34,397
25193,GH,1995,f,35-44,205
8127,GH,1995,m,35-44,398
27631,GH,1995,f,45-54,122
10565,GH,1995,m,45-54,302
30069,GH,1995,f,55-64,88
13003,GH,1995,m,55-64,190
32507,GH,1995,f,65+,48
15441,GH,1995,m,65+,112
17880,GH,1996,f,0-14,32
814,GH,1996,m,0-14,30
20318,GH,1996,f,15-24,177
3252,GH,1996,m,15-24,216
22756,GH,1996,f,25-34,260
5690,GH,1996,m,25-34,345
25194,GH,1996,f,35-44,200
8128,GH,1996,m,35-44,368
27632,GH,1996,f,45-54,110
10566,GH,1996,m,45-54,255
30070,GH,1996,f,55-64,64
13004,GH,1996,m,55-64,165
32508,GH,1996,f,65+,43
15442,GH,1996,m,65+,157
17881,GH,1997,f,0-14,90
815,GH,1997,m,0-14,77
20319,GH,1997,f,15-24,363
3253,GH,1997,m,15-24,406
22757,GH,1997,f,25-34,651
5691,GH,1997,m,25-34,941
25195,GH,1997,f,35-44,418
8129,GH,1997,m,35-44,781
27633,GH,1997,f,45-54,276
10567,GH,1997,m,45-54,623
30071,GH,1997,f,55-64,188
13005,GH,1997,m,55-64,367
32509,GH,1997,f,65+,121
15443,GH,1997,m,65+,294
17882,GH,1998,f,0-14,85
816,GH,1998,m,0-14,83
20320,GH,1998,f,15-24,483
3254,GH,1998,m,15-24,553
22758,GH,1998,f,25-34,758
5692,GH,1998,m,25-34,1009
25196,GH,1998,f,35-44,493
8130,GH,1998,m,35-44,913
27634,GH,1998,f,45-54,366
10568,GH,1998,m,45-54,775
30072,GH,1998,f,55-64,248
13006,GH,1998,m,55-64,509
32510,GH,1998,f,65+,243
15444,GH,1998,m,65+,487
17883,GH,1999,f,0-14,80
817,GH,1999,m,0-14,64
20321,GH,1999,f,15-24,491
3255,GH,1999,m,15-24,586
22759,GH,1999,f,25-34,753
5693,GH,1999,m,25-34,1132
25197,GH,1999,f,35-44,492
8131,GH,1999,m,35-44,1008
27635,GH,1999,f,45-54,302
10569,GH,1999,m,45-54,767
30073,GH,1999,f,55-64,192
13007,GH,1999,m,55-64,389
32511,GH,1999,f,65+,180
15445,GH,1999,m,65+,389
17884,GH,2000,f,0-14,74
818,GH,2000,m,0-14,73
20322,GH,2000,f,15-24,456
3256,GH,2000,m,15-24,550
22760,GH,2000,f,25-34,791
5694,GH,2000,m,25-34,1266
25198,GH,2000,f,35-44,566
8132,GH,2000,m,35-44,1115
27636,GH,2000,f,45-54,338
10570,GH,2000,m,45-54,811
30074,GH,2000,f,55-64,179
13008,GH,2000,m,55-64,495
32512,GH,2000,f,65+,176
15446,GH,2000,m,65+,426
17885,GH,2001,f,0-14,128
